year,rto_name,metric,total_count
2023,"MUMBAI (WEST)","Registration Fuel",55933
2023,"MUMBAI (WEST)","Registration Manufacturer",55933
2023,"MUMBAI (WEST)","Registration Standard",55933
2023,"MUMBAI (WEST)","Revenue (Fee)",6045234
2023,"MUMBAI (WEST)","Revenue (Tax)",864172
2023,"MUMBAI (WEST)",Transaction,263228
2023,R.T.O.BORIVALI,"Permit Category",16860
2023,R.T.O.BORIVALI,"Permit Purpose",16860
2023,R.T.O.BORIVALI,"Permit Type",16860
2023,R.T.O.BORIVALI,"Registration Category",64806
2023,R.T.O.BORIVALI,"Registration Class",64806
2023,R.T.O.BORIVALI,"Registration Fuel",64806
2023,R.T.O.BORIVALI,"Registration Manufacturer",64806
2023,R.T.O.BORIVALI,"Registration Standard",64806
2023,R.T.O.BORIVALI,"Revenue (Fee)",29233338
2023,R.T.O.BORIVALI,"Revenue (Tax)",2791609
2023,R.T.O.BORIVALI,Transaction,267203
2024,"MUMBAI (CENTRAL)","Permit Category",17558
2024,"MUMBAI (CENTRAL)","Permit Purpose",17558
2024,"MUMBAI (CENTRAL)","Permit Type",17558
2024,"MUMBAI (CENTRAL)","Registration Category",71817
2024,"MUMBAI (CENTRAL)","Registration Class",71817
2024,"MUMBAI (CENTRAL)","Registration Fuel",71817
2024,"MUMBAI (CENTRAL)","Registration Manufacturer",71817
2024,"MUMBAI (CENTRAL)","Registration Standard",71817
2024,"MUMBAI (CENTRAL)","Revenue (Fee)",5934416
2024,"MUMBAI (CENTRAL)","Revenue (Tax)",7407065
2024,"MUMBAI (CENTRAL)",Transaction,312595
2024,"MUMBAI (EAST)","Permit Category",20461
2024,"MUMBAI (EAST)","Permit Purpose",20459
2024,"MUMBAI (EAST)","Permit Type",20460
2024,"MUMBAI (EAST)","Registration Category",76800
2024,"MUMBAI (EAST)","Registration Class",76800
2024,"MUMBAI (EAST)","Registration Fuel",76800
2024,"MUMBAI (EAST)","Registration Manufacturer",76800
2024,"MUMBAI (EAST)","Registration Standard",76800
2024,"MUMBAI (EAST)","Revenue (Fee)",22484325
2024,"MUMBAI (EAST)","Revenue (Tax)",1204583
2024,"MUMBAI (EAST)",Transaction,334944
2024,"MUMBAI (WEST)","Permit Category",13987
2024,"MUMBAI (WEST)","Permit Purpose",13984
2024,"MUMBAI (WEST)","Permit Type",13987
2024,"MUMBAI (WEST)","Registration Category",60569
2024,"MUMBAI (WEST)","Registration Class",60569
2024,"MUMBAI (WEST)","Registration Fuel",60569
2024,"MUMBAI (WEST)","Registration Manufacturer",60569
2024,"MUMBAI (WEST)","Registration Standard",21756
2024,"MUMBAI (WEST)","Revenue (Fee)",4155922
2024,"MUMBAI (WEST)","Revenue (Tax)",486363
2024,"MUMBAI (WEST)",Transaction,266764
2024,R.T.O.BORIVALI,"Permit Category",22161
2024,R.T.O.BORIVALI,"Permit Purpose",22164
2024,R.T.O.BORIVALI,"Permit Type",22160
2024,R.T.O.BORIVALI,"Registration Category",71345
2024,R.T.O.BORIVALI,"Registration Class",71345
2024,R.T.O.BORIVALI,"Registration Fuel",71345
2024,R.T.O.BORIVALI,"Registration Manufacturer",71345
2024,R.T.O.BORIVALI,"Registration Standard",71345
2024,R.T.O.BORIVALI,"Revenue (Fee)",14294073
2024,R.T.O.BORIVALI,"Revenue (Tax)",410427
2024,R.T.O.BORIVALI,Transaction,306033
